idActor|name
idActor00001|Aamir Bashir
idActor00002|Aamir Khan
idActor00003|Aaron Eckhart
idActor00004|Aaron Taylor-Johnson
idActor00005|Abdel Ahmed Ghili
idActor00006|Abhay Deol
idActor00007|Abigail Breslin
idActor00008|Abraham Attah
idActor00009|Adam Baldwin
idActor00010|Adam Driver
idActor00011|Adel Bencherif
idActor00012|Adesh Prasad
idActor00013|Adil Hussain
idActor00014|Adolphe Menjou
idActor00015|Adrian Molina
idActor00016|Adrien Brody
idActor00017|Adèle Exarchopoulos
idActor00018|Adèle Haenel
idActor00019|Agnes Moorehead
idActor00020|Ahmet Mümtaz Taylan
idActor00021|Ahna Capri
idActor00022|Ahney Her
idActor00023|Aidan Gillen
idActor00024|Aitana Sánchez-Gijón
idActor00025|Ajay Devgn
idActor00026|Ajay Naidu
idActor00027|Akemi Yamaguchi
idActor00028|Aki Maeda
idActor00029|Akihiro Miwa
idActor00030|Akio Ôtsuka
idActor00031|Akira Ishihama
idActor00032|Akira Terao
idActor00033|Akshay Kumar
idActor00034|Akshaye Khanna
idActor00035|Al Ernest Garcia
idActor00036|Al Pacino
idActor00037|Alain Delon
idActor00038|Alakina Mann
idActor00039|Alan Alda
idActor00040|Alan Arkin
idActor00041|Alan Badel
idActor00042|Alan Mak
idActor00043|Alan Randolph Scott
idActor00044|Alan Rickman
idActor00045|Alan Ruck
idActor00046|Alan Tudyk
idActor00047|Albert Brooks
idActor00048|Albert Finney
idActor00049|Albert Rémy
idActor00050|Alberto Ammann
idActor00051|Aldo Giuffrè
idActor00052|Aldo Silvani
idActor00053|Alec Baldwin
idActor00054|Alec Cawthorne
idActor00055|Alec Guinness
idActor00056|Alec Secareanu
idActor00057|Alejandro Jodorowsky
idActor00058|Aleksandr Antonov
idActor00059|Aleksandr Kaydanovskiy
idActor00060|Aleksey Kravchenko
idActor00061|Aleksey Rozin
idActor00062|Aleksey Serebryakov
idActor00063|Alex Palmer
idActor00064|Alex Sharp
idActor00065|Alexander Gould
idActor00066|Alexander Granach
idActor00067|Alexandra Maria Lara
idActor00068|Alexandre Rignault
idActor00069|Alexandre Rodrigues
idActor00070|Alexandre Tharaud
idActor00071|Alexandru Potocean
idActor00072|Alfred Abel
idActor00073|Ali Mosaffa
idActor00074|Alia Bhatt
idActor00075|Alicia Vikander
idActor00076|Alida Valli
idActor00077|Alisa Freyndlikh
idActor00078|Alison Crosbie
idActor00079|Alison Doody
idActor00080|Alison Whelan
idActor00081|Allen Garfield
idActor00082|Allen Leech
idActor00083|Allison Williams
idActor00084|Ally Sheedy
idActor00085|Altan Erkekli
idActor00086|America Ferrera
idActor00087|Amir Farrokh Hashemian
idActor00088|Amira Casar
idActor00089|Amit Sadh
idActor00090|Amitabh Bachchan
idActor00091|Amjad Khan
idActor00092|Amole Gupte
idActor00093|Amrish Puri
idActor00094|Amrita Puri
idActor00095|Amy Adams
idActor00096|Amy Poehler
idActor00097|Amy Ryan
idActor00098|Amy Smart
idActor00099|Ana López Mercado
idActor00100|Ana Wagener
idActor00101|Ana de Armas
idActor00102|Anamaria Marinca
idActor00103|Anand Gandhi
idActor00104|Ananda George
idActor00105|Anatoliy Solonitsyn
idActor00106|Andie MacDowell
idActor00107|Andrea Eckert
idActor00108|Andrea Riseborough
idActor00109|Andrea Tariang
idActor00110|Andreas Wilson
idActor00111|Andrew Adote
idActor00112|Andrew Garfield
idActor00113|Andrew Kevin Walker
idActor00114|Andrew Marton
idActor00115|Andrew Philpot
idActor00116|Andrew Robinson
idActor00117|Andrew Shim
idActor00118|André Berley
idActor00119|André Ramiro
idActor00120|André S. Labarthe
idActor00121|Andy Devine
idActor00122|Andy Garcia
idActor00123|Andy Lau
idActor00124|Andy Serkis
idActor00125|Angela Bassett
idActor00126|Angela Lansbury
idActor00127|Angelina Jolie
idActor00128|Angie Dickinson
idActor00129|Angus Macfadyen
idActor00130|Anil Dhawan
idActor00131|Anita Ekberg
idActor00132|Anjelica Huston
idActor00133|Ann Dvorak
idActor00134|Ann Owens
idActor00135|Ann Reinking
idActor00136|Anna Faris
idActor00137|Anna Foglietta
idActor00138|Anna Karina
idActor00139|Anna Kendrick
idActor00140|Anna Massey
idActor00141|Annalise Basso
idActor00142|Anne Bancroft
idActor00143|Anne Baxter
idActor00144|Anne Dorval
idActor00145|Anne Hathaway
idActor00146|Anne Le Ny
idActor00147|Anne-Marie Duff
idActor00148|Annette Bening
idActor00149|Annie Corley
idActor00150|Annie Potts
idActor00151|Annika Wedderkopp
idActor00152|Annu Kapoor
idActor00153|Anouk Aimée
idActor00154|Ansel Elgort
idActor00155|Ansiba
idActor00156|Anthony Chau-Sang Wong
idActor00157|Anthony Edwards
idActor00158|Anthony Gonzalez
idActor00159|Anthony Hopkins
idActor00160|Anthony Michael Hall
idActor00161|Anthony Perkins
idActor00162|Anthony Quinn
idActor00163|Antoine Olivier Pilon
idActor00164|Anton Walbrook
idActor00165|Antonella Attili
idActor00166|Antonia San Juan
idActor00167|Antonio Banderas
idActor00168|Antonio Resines
idActor00169|Anupam Kher
idActor00170|Anushka Sharma
idActor00171|Anushka Shetty
idActor00172|Aoi Miyazaki
idActor00173|Aoi Yûki
idActor00174|Aparna Balamurali
idActor00175|Aras Bulut Iynemli
idActor00176|Archana Jois
idActor00177|Ariadna Gil
idActor00178|Ariane Labed
idActor00179|Arifin Putra
idActor00180|Armando Brancia
idActor00181|Armie Hammer
idActor00182|Armin Mueller-Stahl
idActor00183|Arno Frisch
idActor00184|Arnold Lucy
idActor00185|Arnold Schwarzenegger
idActor00186|Arshad Warsi
idActor00187|Art LaFleur
idActor00188|Art Malik
idActor00189|Art Parkinson
idActor00190|Arthur O'Connell
idActor00191|Arthur Rosson
idActor00192|Artyom Bogucharskiy
idActor00193|Asa Butterfield
idActor00194|Asaka Seto
idActor00195|Ash Brannon
idActor00196|Asha Sharath
idActor00197|Ashton Kutcher
idActor00198|Atsuko Tanaka
idActor00199|Audrey Hepburn
idActor00200|Audrey Tautou
idActor00201|Auli'i Cravalho
idActor00202|Aura Garrido
idActor00203|Aurore Clément
idActor00204|Aurélien Recoing
idActor00205|Aya Okamoto
idActor00206|Ayami Kakiuchi
idActor00207|Ayano Shiraishi
idActor00208|Ayberk Pekcan
idActor00209|Ayesha Kapoor
idActor00210|Ayushmann Khurrana
idActor00211|Azhy Robertson
idActor00212|BD Wong
idActor00213|Babak Karimi
idActor00214|Bae Doona
idActor00215|Bahar Pars
idActor00216|Bahare Seddiqi
idActor00217|Bajram Severdzan
idActor00218|Baki Davrak
idActor00219|Barbara Bel Geddes
idActor00220|Barbara Hershey
idActor00221|Barbara Stanwyck
idActor00222|Baris Bagci
idActor00223|Barkhad Abdi
idActor00224|Barkhad Abdirahman
idActor00225|Barry Bostwick
idActor00226|Barry Cook
idActor00227|Barry Fitzgerald
idActor00228|Barry Humphries
idActor00229|Barry Keoghan
idActor00230|Barry Pepper
idActor00231|Basil Rathbone
idActor00232|Beau Billingslea
idActor00233|Bee Vang
idActor00234|Belén Rueda
