idMovie|name|duration|release_date|description
idMovie00001|The Shawshank Redemption|142|1994/00/00|Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
idMovie00002|The Godfather|175|1972/00/00|An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
idMovie00003|The Dark Knight|152|2008/00/00|When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
idMovie00004|The Godfather: Part II|202|1974/00/00|The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
idMovie00005|12 Angry Men|96|1957/00/00|A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
idMovie00006|The Lord of the Rings: The Return of the King|201|2003/00/00|Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
idMovie00007|Pulp Fiction|154|1994/00/00|The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
idMovie00008|Schindler's List|195|1993/00/00|In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
idMovie00009|Inception|148|2010/00/00|A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
idMovie00010|Fight Club|139|1999/00/00|An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.
idMovie00011|The Lord of the Rings: The Fellowship of the Ring|178|2001/00/00|A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
idMovie00012|Forrest Gump|142|1994/00/00|The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.
idMovie00013|Il buono, il brutto, il cattivo|161|1966/00/00|A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
idMovie00014|The Lord of the Rings: The Two Towers|179|2002/00/00|While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
idMovie00015|The Matrix|136|1999/00/00|When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.
idMovie00016|Goodfellas|146|1990/00/00|The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
idMovie00017|Star Wars: Episode V - The Empire Strikes Back|124|1980/00/00|After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.
idMovie00018|One Flew Over the Cuckoo's Nest|133|1975/00/00|A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.
idMovie00019|Hamilton|160|2020/00/00|The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.
idMovie00020|Gisaengchung|132|2019/00/00|Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
idMovie00021|Soorarai Pottru|153|2020/00/00|Nedumaaran Rajangam "Maara" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.
idMovie00022|Interstellar|169|2014/00/00|A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
