idActor|name
idActor00001|Tim Robbins
idActor00002|Morgan Freeman
idActor00003|Bob Gunton
idActor00004|William Sadler
idActor00005|Marlon Brando
idActor00006|Al Pacino
idActor00007|James Caan
idActor00008|Diane Keaton
idActor00009|Christian Bale
idActor00010|Heath Ledger
idActor00011|Aaron Eckhart
idActor00012|Michael Caine
idActor00013|Robert De Niro
idActor00014|Robert Duvall
idActor00015|Henry Fonda
idActor00016|Lee J. Cobb
idActor00017|Martin Balsam
idActor00018|John Fiedler
idActor00019|Elijah Wood
idActor00020|Viggo Mortensen
idActor00021|Ian McKellen
idActor00022|Orlando Bloom
idActor00023|John Travolta
idActor00024|Uma Thurman
idActor00025|Samuel L. Jackson
idActor00026|Bruce Willis
idActor00027|Liam Neeson
idActor00028|Ralph Fiennes
idActor00029|Ben Kingsley
idActor00030|Caroline Goodall
idActor00031|Leonardo DiCaprio
idActor00032|Joseph Gordon-Levitt
idActor00033|Elliot Page
idActor00034|Ken Watanabe
idActor00035|Brad Pitt
idActor00036|Edward Norton
idActor00037|Meat Loaf
idActor00038|Zach Grenier
idActor00039|Sean Bean
idActor00040|Tom Hanks
idActor00041|Robin Wright
idActor00042|Gary Sinise
idActor00043|Sally Field
idActor00044|Clint Eastwood
idActor00045|Eli Wallach
idActor00046|Lee Van Cleef
idActor00047|Aldo Giuffrè
idActor00048|Lilly Wachowski
idActor00049|Keanu Reeves
idActor00050|Laurence Fishburne
idActor00051|Carrie-Anne Moss
idActor00052|Ray Liotta
idActor00053|Joe Pesci
idActor00054|Lorraine Bracco
idActor00055|Mark Hamill
idActor00056|Harrison Ford
idActor00057|Carrie Fisher
idActor00058|Billy Dee Williams
idActor00059|Jack Nicholson
idActor00060|Louise Fletcher
idActor00061|Michael Berryman
idActor00062|Peter Brocco
idActor00063|Lin-Manuel Miranda
idActor00064|Phillipa Soo
idActor00065|Leslie Odom Jr.
idActor00066|Renée Elise Goldsberry
idActor00067|Kang-ho Song
idActor00068|Lee Sun-kyun
idActor00069|Cho Yeo-jeong
idActor00070|Choi Woo-sik
idActor00071|Suriya
idActor00072|Madhavan
idActor00073|Paresh Rawal
idActor00074|Aparna Balamurali
idActor00075|Matthew McConaughey
idActor00076|Anne Hathaway
idActor00077|Jessica Chastain
idActor00078|Mackenzie Foy
idActor00079|Kátia Lund
idActor00080|Alexandre Rodrigues
idActor00081|Leandro Firmino
idActor00082|Matheus Nachtergaele
idActor00083|Daveigh Chase
idActor00084|Suzanne Pleshette
idActor00085|Miyu Irino
idActor00086|Rumi Hiiragi
idActor00087|Matt Damon
idActor00088|Tom Sizemore
idActor00089|Edward Burns
idActor00090|Michael Clarke Duncan
idActor00091|David Morse
idActor00092|Bonnie Hunt
idActor00093|Roberto Benigni
idActor00094|Nicoletta Braschi
idActor00095|Giorgio Cantarini
idActor00096|Giustino Durano
idActor00097|Kevin Spacey
idActor00098|Andrew Kevin Walker
idActor00099|Jodie Foster
idActor00100|Anthony Hopkins
idActor00101|Lawrence A. Bonney
idActor00102|Kasi Lemmons
idActor00103|Alec Guinness
idActor00104|Tatsuya Nakadai
idActor00105|Akira Ishihama
idActor00106|Shima Iwashita
idActor00107|Tetsurô Tanba
idActor00108|Toshirô Mifune
idActor00109|Takashi Shimura
idActor00110|Keiko Tsushima
idActor00111|Yukiko Shimazaki
idActor00112|James Stewart
idActor00113|Donna Reed
idActor00114|Lionel Barrymore
idActor00115|Thomas Mitchell
idActor00116|Joaquin Phoenix
idActor00117|Zazie Beetz
idActor00118|Frances Conroy
idActor00119|Miles Teller
idActor00120|J.K. Simmons
idActor00121|Melissa Benoist
idActor00122|Paul Reiser
idActor00123|Éric Toledano
idActor00124|François Cluzet
idActor00125|Omar Sy
idActor00126|Anne Le Ny
idActor00127|Hugh Jackman
idActor00128|Scarlett Johansson
idActor00129|Mark Wahlberg
idActor00130|Adrien Brody
idActor00131|Thomas Kretschmann
idActor00132|Frank Finlay
idActor00133|Emilia Fox
idActor00134|Russell Crowe
idActor00135|Connie Nielsen
idActor00136|Oliver Reed
idActor00137|Edward Furlong
idActor00138|Beverly D'Angelo
idActor00139|Jennifer Lien
idActor00140|Gabriel Byrne
idActor00141|Chazz Palminteri
idActor00142|Stephen Baldwin
idActor00143|Jean Reno
idActor00144|Gary Oldman
idActor00145|Natalie Portman
idActor00146|Danny Aiello
idActor00147|Rob Minkoff
idActor00148|Matthew Broderick
idActor00149|Jeremy Irons
idActor00150|James Earl Jones
idActor00151|Arnold Schwarzenegger
idActor00152|Linda Hamilton
idActor00153|Robert Patrick
idActor00154|Philippe Noiret
idActor00155|Enzo Cannavale
idActor00156|Antonella Attili
idActor00157|Isa Danieli
idActor00158|Tsutomu Tatsumi
idActor00159|Ayano Shiraishi
idActor00160|Akemi Yamaguchi
idActor00161|Yoshiko Shinohara
idActor00162|Michael J. Fox
idActor00163|Christopher Lloyd
idActor00164|Lea Thompson
idActor00165|Crispin Glover
idActor00166|Charles Bronson
idActor00167|Claudia Cardinale
idActor00168|Jason Robards
idActor00169|Anthony Perkins
idActor00170|Janet Leigh
idActor00171|Vera Miles
idActor00172|John Gavin
idActor00173|Humphrey Bogart
idActor00174|Ingrid Bergman
idActor00175|Paul Henreid
idActor00176|Claude Rains
idActor00177|Charles Chaplin
idActor00178|Paulette Goddard
idActor00179|Henry Bergman
idActor00180|Tiny Sandford
idActor00181|Virginia Cherrill
idActor00182|Florence Lee
idActor00183|Harry Myers
idActor00184|Zain Al Rafeea
idActor00185|Yordanos Shiferaw
idActor00186|Boluwatife Treasure Bankole
idActor00187|Kawsar Al Haddad
idActor00188|Erdem Can
idActor00189|Çetin Tekindor
idActor00190|Ismail Hacioglu
idActor00191|Kyung-jin Lee
idActor00192|Pushkar
idActor00193|Vijay Sethupathi
idActor00194|Shraddha Srinath
idActor00195|Ryûnosuke Kamiki
idActor00196|Mone Kamishiraishi
idActor00197|Ryô Narita
idActor00198|Aoi Yûki
idActor00199|Aamir Khan
idActor00200|Sakshi Tanwar
idActor00201|Fatima Sana Shaikh
idActor00202|Sanya Malhotra
idActor00203|Peter Ramsey
idActor00204|Rodney Rothman
idActor00205|Shameik Moore
idActor00206|Jake Johnson
idActor00207|Joe Russo
idActor00208|Robert Downey Jr.
idActor00209|Chris Evans
idActor00210|Mark Ruffalo
idActor00211|Chris Hemsworth
idActor00212|Adrian Molina
idActor00213|Anthony Gonzalez
idActor00214|Gael García Bernal
idActor00215|Benjamin Bratt
idActor00216|Jamie Foxx
idActor00217|Christoph Waltz
idActor00218|Kerry Washington
idActor00219|Tom Hardy
idActor00220|Mona Singh
idActor00221|Sharman Joshi
idActor00222|Amole Gupte
idActor00223|Darsheel Safary
idActor00224|Tisca Chopra
idActor00225|Ben Burtt
idActor00226|Elissa Knight
idActor00227|Jeff Garlin
idActor00228|Fred Willard
idActor00229|Ulrich Mühe
idActor00230|Martina Gedeck
idActor00231|Sebastian Koch
idActor00232|Ulrich Tukur
idActor00233|Choi Min-sik
idActor00234|Yoo Ji-Tae
idActor00235|Kang Hye-jeong
idActor00236|Kim Byeong-Ok
idActor00237|Guy Pearce
idActor00238|Joe Pantoliano
idActor00239|Mark Boone Junior
idActor00240|Yôji Matsuda
idActor00241|Yuriko Ishida
idActor00242|Yûko Tanaka
idActor00243|Billy Crudup
idActor00244|James Woods
idActor00245|Elizabeth McGovern
idActor00246|Treat Williams
idActor00247|Karen Allen
idActor00248|Paul Freeman
idActor00249|John Rhys-Davies
idActor00250|Shelley Duvall
idActor00251|Danny Lloyd
idActor00252|Scatman Crothers
idActor00253|Martin Sheen
idActor00254|Frederic Forrest
idActor00255|Sigourney Weaver
idActor00256|Tom Skerritt
idActor00257|John Hurt
idActor00258|Veronica Cartwright
idActor00259|Rajesh Khanna
idActor00260|Amitabh Bachchan
idActor00261|Sumita Sanyal
idActor00262|Ramesh Deo
idActor00263|Yutaka Sada
idActor00264|Kyôko Kagawa
idActor00265|Peter Sellers
idActor00266|George C. Scott
idActor00267|Sterling Hayden
idActor00268|Keenan Wynn
idActor00269|Tyrone Power
idActor00270|Marlene Dietrich
idActor00271|Charles Laughton
idActor00272|Elsa Lanchester
idActor00273|Kirk Douglas
idActor00274|Ralph Meeker
idActor00275|Adolphe Menjou
idActor00276|George Macready
idActor00277|Grace Kelly
idActor00278|Wendell Corey
idActor00279|Thelma Ritter
idActor00280|William Holden
idActor00281|Gloria Swanson
idActor00282|Erich von Stroheim
idActor00283|Nancy Olson
idActor00284|Jack Oakie
idActor00285|Reginald Gardiner
idActor00286|Dean-Charles Chapman
idActor00287|George MacKay
idActor00288|Daniel Mays
idActor00289|Colin Firth
idActor00290|Anand Gandhi
idActor00291|Adesh Prasad
idActor00292|Sohum Shah
idActor00293|Jyoti Malshe
idActor00294|Ayushmann Khurrana
idActor00295|Tabu
idActor00296|Radhika Apte
idActor00297|Anil Dhawan
idActor00298|Mohanlal
idActor00299|Meena
idActor00300|Asha Sharath
idActor00301|Ansiba
idActor00302|Mads Mikkelsen
idActor00303|Thomas Bo Larsen
idActor00304|Annika Wedderkopp
idActor00305|Lasse Fogelstrøm
idActor00306|Payman Maadi
idActor00307|Leila Hatami
idActor00308|Sareh Bayat
idActor00309|Shahab Hosseini
idActor00310|Lubna Azabal
idActor00311|Mélissa Désormeaux-Poulin
idActor00312|Maxim Gaudette
idActor00313|Mustafa Kamel
idActor00314|Aras Bulut Iynemli
idActor00315|Nisa Sofiya Aksongur
idActor00316|Deniz Baysal
idActor00317|Celile Toyon Uysal
idActor00318|Fikret Kuskan
idActor00319|Hümeyra
idActor00320|Ege Tanman
idActor00321|Diane Kruger
idActor00322|Eli Roth
idActor00323|Mélanie Laurent
idActor00324|Jim Carrey
idActor00325|Kate Winslet
idActor00326|Tom Wilkinson
idActor00327|Gerry Robert Byrne
idActor00328|Audrey Tautou
idActor00329|Mathieu Kassovitz
idActor00330|Rufus
idActor00331|Lorella Cravotta
idActor00332|Jason Statham
idActor00333|Benicio Del Toro
idActor00334|Dennis Farina
idActor00335|Ellen Burstyn
idActor00336|Jared Leto
idActor00337|Jennifer Connelly
idActor00338|Marlon Wayans
idActor00339|Annette Bening
idActor00340|Thora Birch
idActor00341|Wes Bentley
idActor00342|Robin Williams
idActor00343|Ben Affleck
idActor00344|Stellan Skarsgård
idActor00345|Mohammad Amir Naji
idActor00346|Amir Farrokh Hashemian
idActor00347|Bahare Seddiqi
idActor00348|Nafise Jafar-Mohammadi
idActor00349|Tim Allen
idActor00350|Don Rickles
idActor00351|Jim Varney
idActor00352|Mel Gibson
idActor00353|Sophie Marceau
idActor00354|Patrick McGoohan
idActor00355|Angus Macfadyen
idActor00356|Harvey Keitel
idActor00357|Tim Roth
idActor00358|Michael Madsen
idActor00359|Chris Penn
idActor00360|Matthew Modine
idActor00361|R. Lee Ermey
idActor00362|Vincent D'Onofrio
idActor00363|Adam Baldwin
idActor00364|Aleksey Kravchenko
idActor00365|Olga Mironova
idActor00366|Liubomiras Laucevicius
idActor00367|Vladas Bagdonas
idActor00368|Michael Biehn
idActor00369|Carrie Henn
idActor00370|F. Murray Abraham
idActor00371|Tom Hulce
idActor00372|Elizabeth Berridge
idActor00373|Roy Dotrice
idActor00374|Michelle Pfeiffer
idActor00375|Steven Bauer
idActor00376|Mary Elizabeth Mastrantonio
idActor00377|Jürgen Prochnow
idActor00378|Herbert Grönemeyer
idActor00379|Klaus Wennemann
idActor00380|Hubertus Bengsch
idActor00381|Cybill Shepherd
idActor00382|Albert Brooks
idActor00383|Paul Newman
idActor00384|Robert Redford
idActor00385|Robert Shaw
idActor00386|Charles Durning
idActor00387|Malcolm McDowell
idActor00388|Patrick Magee
idActor00389|Michael Bates
idActor00390|Warren Clarke
idActor00391|Keir Dullea
idActor00392|Gary Lockwood
idActor00393|William Sylvester
idActor00394|Daniel Richter
idActor00395|Gian Maria Volontè
idActor00396|Mara Krupp
idActor00397|Peter O'Toole
idActor00398|Anthony Quinn
idActor00399|Jack Hawkins
idActor00400|Jack Lemmon
idActor00401|Shirley MacLaine
idActor00402|Fred MacMurray
idActor00403|Ray Walston
idActor00404|Cary Grant
idActor00405|Eva Marie Saint
idActor00406|James Mason
idActor00407|Jessie Royce Landis
idActor00408|Kim Novak
idActor00409|Barbara Bel Geddes
idActor00410|Tom Helmore
idActor00411|Gene Kelly
idActor00412|Donald O'Connor
idActor00413|Debbie Reynolds
idActor00414|Nobuo Kaneko
idActor00415|Shin'ichi Himori
idActor00416|Haruo Tanaka
idActor00417|Lamberto Maggiorani
idActor00418|Enzo Staiola
idActor00419|Lianella Carell
idActor00420|Elena Altieri
idActor00421|Barbara Stanwyck
idActor00422|Edward G. Robinson
idActor00423|Byron Barr
idActor00424|Orson Welles
idActor00425|Joseph Cotten
idActor00426|Dorothy Comingore
idActor00427|Agnes Moorehead
idActor00428|Peter Lorre
idActor00429|Ellen Widmann
idActor00430|Inge Landgut
idActor00431|Otto Wernicke
idActor00432|Brigitte Helm
idActor00433|Alfred Abel
idActor00434|Gustav Fröhlich
idActor00435|Rudolf Klein-Rogge
idActor00436|Edna Purviance
idActor00437|Jackie Coogan
idActor00438|Carl Miller
idActor00439|Sushant Singh Rajput
idActor00440|Shraddha Kapoor
idActor00441|Varun Sharma
idActor00442|Prateik
idActor00443|Vicky Kaushal
idActor00444|Mohit Raina
idActor00445|Yami Gautam
idActor00446|Yash
idActor00447|Srinidhi Shetty
idActor00448|Ramachandra Raju
idActor00449|Archana Jois
idActor00450|Mahershala Ali
idActor00451|Linda Cardellini
idActor00452|Sebastian Maniscalco
idActor00453|Frances McDormand
idActor00454|Woody Harrelson
idActor00455|Sam Rockwell
idActor00456|Caleb Landry Jones
idActor00457|Irrfan Khan
idActor00458|Konkona Sen Sharma
idActor00459|Neeraj Kabi
idActor00460|Prabhas
idActor00461|Rana Daggubati
idActor00462|Anushka Shetty
idActor00463|Tamannaah Bhatia
idActor00464|Carlos Martínez López
idActor00465|Jason Schwartzman
idActor00466|Rashida Jones
idActor00467|Ajay Devgn
idActor00468|Shriya Saran
idActor00469|Rajat Kapoor
idActor00470|Kangana Ranaut
idActor00471|Rajkummar Rao
idActor00472|Lisa Haydon
idActor00473|Jeffrey Ho
idActor00474|Lembit Ulfsak
idActor00475|Elmo Nüganen
idActor00476|Giorgi Nakashidze
idActor00477|Misha Meskhi
idActor00478|Farhan Akhtar
idActor00479|Sonam Kapoor
idActor00480|Pawan Malhotra
idActor00481|Art Malik
idActor00482|Manoj Bajpayee
idActor00483|Richa Chadha
idActor00484|Nawazuddin Siddiqui
idActor00485|Tigmanshu Dhulia
idActor00486|Rajat Barmecha
idActor00487|Ronit Roy
idActor00488|Manjot Singh
idActor00489|Ram Kapoor
idActor00490|Mahie Gill
idActor00491|Rajesh Abhay
idActor00492|Hemendra Dandotiya
idActor00493|Ricardo Darín
idActor00494|Soledad Villamil
idActor00495|Pablo Rago
idActor00496|Carla Quevedo
idActor00497|Nick Nolte
idActor00498|Joel Edgerton
idActor00499|Jennifer Morrison
idActor00500|Emily Mortimer
idActor00501|Bob Peterson
idActor00502|Edward Asner
idActor00503|Jordan Nagai
idActor00504|John Ratzenberger
idActor00505|Jonah Hill
idActor00506|Margot Robbie
idActor00507|Shah Rukh Khan
idActor00508|Vidya Malvade
idActor00509|Sagarika Ghatge
idActor00510|Shilpa Shukla
