idActor|idMovie
idActor00001|idMovie00001
idActor00002|idMovie00001
idActor00003|idMovie00001
idActor00004|idMovie00001
idActor00005|idMovie00002
idActor00006|idMovie00002
idActor00007|idMovie00002
idActor00008|idMovie00002
idActor00009|idMovie00003
idActor00010|idMovie00003
idActor00011|idMovie00003
idActor00012|idMovie00003
idActor00006|idMovie00004
idActor00013|idMovie00004
idActor00014|idMovie00004
idActor00008|idMovie00004
idActor00015|idMovie00005
idActor00016|idMovie00005
idActor00017|idMovie00005
idActor00018|idMovie00005
idActor00019|idMovie00006
idActor00020|idMovie00006
idActor00021|idMovie00006
idActor00022|idMovie00006
idActor00023|idMovie00007
idActor00024|idMovie00007
idActor00025|idMovie00007
idActor00026|idMovie00007
idActor00027|idMovie00008
idActor00028|idMovie00008
idActor00029|idMovie00008
idActor00030|idMovie00008
idActor00031|idMovie00009
idActor00032|idMovie00009
idActor00033|idMovie00009
idActor00034|idMovie00009
idActor00035|idMovie00010
idActor00036|idMovie00010
idActor00037|idMovie00010
idActor00038|idMovie00010
idActor00019|idMovie00011
idActor00021|idMovie00011
idActor00022|idMovie00011
idActor00039|idMovie00011
idActor00040|idMovie00012
idActor00041|idMovie00012
idActor00042|idMovie00012
idActor00043|idMovie00012
idActor00044|idMovie00013
idActor00045|idMovie00013
idActor00046|idMovie00013
idActor00047|idMovie00013
idActor00019|idMovie00014
idActor00021|idMovie00014
idActor00020|idMovie00014
idActor00022|idMovie00014
idActor00048|idMovie00015
idActor00049|idMovie00015
idActor00050|idMovie00015
idActor00051|idMovie00015
idActor00013|idMovie00016
idActor00052|idMovie00016
idActor00053|idMovie00016
idActor00054|idMovie00016
idActor00055|idMovie00017
idActor00056|idMovie00017
idActor00057|idMovie00017
idActor00058|idMovie00017
idActor00059|idMovie00018
idActor00060|idMovie00018
idActor00061|idMovie00018
idActor00062|idMovie00018
idActor00063|idMovie00019
idActor00064|idMovie00019
idActor00065|idMovie00019
idActor00066|idMovie00019
idActor00067|idMovie00020
idActor00068|idMovie00020
idActor00069|idMovie00020
idActor00070|idMovie00020
idActor00071|idMovie00021
idActor00072|idMovie00021
idActor00073|idMovie00021
idActor00074|idMovie00021
idActor00075|idMovie00022
idActor00076|idMovie00022
idActor00077|idMovie00022
idActor00078|idMovie00022
idActor00079|idMovie00023
idActor00080|idMovie00023
idActor00081|idMovie00023
idActor00082|idMovie00023
idActor00083|idMovie00024
idActor00084|idMovie00024
idActor00085|idMovie00024
idActor00086|idMovie00024
idActor00040|idMovie00025
idActor00087|idMovie00025
idActor00088|idMovie00025
idActor00089|idMovie00025
idActor00040|idMovie00026
idActor00090|idMovie00026
idActor00091|idMovie00026
idActor00092|idMovie00026
idActor00093|idMovie00027
idActor00094|idMovie00027
idActor00095|idMovie00027
idActor00096|idMovie00027
idActor00002|idMovie00028
idActor00035|idMovie00028
idActor00097|idMovie00028
idActor00098|idMovie00028
idActor00099|idMovie00029
idActor00100|idMovie00029
idActor00101|idMovie00029
idActor00102|idMovie00029
idActor00055|idMovie00030
idActor00056|idMovie00030
idActor00057|idMovie00030
idActor00103|idMovie00030
idActor00104|idMovie00031
idActor00105|idMovie00031
idActor00106|idMovie00031
idActor00107|idMovie00031
