idDirector|name
idDirector0001|Frank Darabont
idDirector0002|Francis Ford Coppola
idDirector0003|Christopher Nolan
idDirector0004|Sidney Lumet
idDirector0005|Peter Jackson
idDirector0006|Quentin Tarantino
idDirector0007|Steven Spielberg
idDirector0008|David Fincher
idDirector0009|Robert Zemeckis
idDirector0010|Sergio Leone
idDirector0011|Lana Wachowski
idDirector0012|Martin Scorsese
idDirector0013|Irvin Kershner
idDirector0014|Milos Forman
idDirector0015|Thomas Kail
idDirector0016|Bong Joon Ho
idDirector0017|Sudha Kongara
idDirector0018|Fernando Meirelles
idDirector0019|Hayao Miyazaki
idDirector0020|Roberto Benigni
idDirector0021|Jonathan Demme
idDirector0022|George Lucas
idDirector0023|Masaki Kobayashi
idDirector0024|Akira Kurosawa
idDirector0025|Frank Capra
idDirector0026|Todd Phillips
idDirector0027|Damien Chazelle
idDirector0028|Olivier Nakache
idDirector0029|Roman Polanski
idDirector0030|Ridley Scott
idDirector0031|Tony Kaye
idDirector0032|Bryan Singer
idDirector0033|Luc Besson
idDirector0034|Roger Allers
idDirector0035|James Cameron
idDirector0036|Giuseppe Tornatore
idDirector0037|Isao Takahata
idDirector0038|Alfred Hitchcock
idDirector0039|Michael Curtiz
idDirector0040|Charles Chaplin
idDirector0041|Nadine Labaki
idDirector0042|Can Ulkay
idDirector0043|Gayatri
idDirector0044|Makoto Shinkai
idDirector0045|Nitesh Tiwari
idDirector0046|Bob Persichetti
idDirector0047|Anthony Russo
idDirector0048|Lee Unkrich
idDirector0049|Rajkumar Hirani
idDirector0050|Aamir Khan
idDirector0051|Andrew Stanton
idDirector0052|Florian Henckel von Donnersmarck
idDirector0053|Chan-wook Park
idDirector0054|Stanley Kubrick
idDirector0055|Hrishikesh Mukherjee
idDirector0056|Billy Wilder
idDirector0057|Sam Mendes
idDirector0058|Rahi Anil Barve
idDirector0059|Sriram Raghavan
idDirector0060|Jeethu Joseph
idDirector0061|Thomas Vinterberg
idDirector0062|Asghar Farhadi
idDirector0063|Denis Villeneuve
idDirector0064|Mehmet Ada Öztekin
idDirector0065|Çagan Irmak
idDirector0066|Michel Gondry
idDirector0067|Jean-Pierre Jeunet
idDirector0068|Guy Ritchie
idDirector0069|Darren Aronofsky
idDirector0070|Gus Van Sant
idDirector0071|Majid Majidi
idDirector0072|John Lasseter
idDirector0073|Mel Gibson
idDirector0074|Elem Klimov
idDirector0075|Brian De Palma
idDirector0076|Richard Marquand
idDirector0077|Wolfgang Petersen
idDirector0078|George Roy Hill
idDirector0079|David Lean
idDirector0080|Stanley Donen
idDirector0081|Vittorio De Sica
idDirector0082|Orson Welles
idDirector0083|Fritz Lang
idDirector0084|Aditya Dhar
idDirector0085|Prashanth Neel
idDirector0086|Peter Farrelly
idDirector0087|Martin McDonagh
idDirector0088|Meghna Gulzar
idDirector0089|S.S. Rajamouli
idDirector0090|Sergio Pablos
idDirector0091|Nishikant Kamat
idDirector0092|Vikas Bahl
idDirector0093|Zaza Urushadze
idDirector0094|Rakeysh Omprakash Mehra
idDirector0095|Anurag Kashyap
idDirector0096|Vikramaditya Motwane
idDirector0097|Tigmanshu Dhulia
idDirector0098|Juan José Campanella
idDirector0099|Gavin O'Connor
idDirector0100|Pete Docter
idDirector0101|Shimit Amin
idDirector0102|Paul Thomas Anderson
idDirector0103|Guillermo del Toro
idDirector0104|James McTeigue
idDirector0105|Sanjay Leela Bhansali
idDirector0106|Ashutosh Gowariker
idDirector0107|Oliver Hirschbiegel
idDirector0108|Ron Howard
idDirector0109|Priyadarshan
idDirector0110|Curtis Hanson
idDirector0111|Yavuz Turgul
idDirector0112|Michael Mann
idDirector0113|Rajkumar Santoshi
idDirector0114|Clint Eastwood
idDirector0115|Emir Kusturica
idDirector0116|John McTiernan
idDirector0117|Andrei Tarkovsky
idDirector0118|Ingmar Bergman
idDirector0119|Moustapha Akkad
idDirector0120|Ramesh Sippy
idDirector0121|Terry Gilliam
idDirector0122|John Sturges
idDirector0123|Robert Mulligan
idDirector0124|Stanley Kramer
idDirector0125|Jules Dassin
idDirector0126|Yasujirô Ozu
idDirector0127|Joseph L. Mankiewicz
idDirector0128|John Huston
idDirector0129|Ernst Lubitsch
idDirector0130|Buster Keaton
idDirector0131|Céline Sciamma
idDirector0132|Aniruddha Roy Chowdhury
idDirector0133|Naoko Yamada
idDirector0134|Oriol Paulo
idDirector0135|Xavier Dolan
idDirector0136|Vishal Bhardwaj
idDirector0137|James Mangold
idDirector0138|Lenny Abrahamson
idDirector0139|Damián Szifron
idDirector0140|Nuri Bilge Ceylan
idDirector0141|Umesh Shukla
idDirector0142|Wes Anderson
idDirector0143|Mamoru Hosoda
idDirector0144|Anurag Basu
idDirector0145|Steve McQueen
idDirector0146|Tom McCarthy
idDirector0147|Tomm Moore
idDirector0148|Sujoy Ghosh
idDirector0149|Zoya Akhtar
idDirector0150|George Miller
idDirector0151|Neeraj Pandey
idDirector0152|David Yates
idDirector0153|Yôjirô Takita
idDirector0154|Lasse Hallström
idDirector0155|Adam Elliot
idDirector0156|Dean DeBlois
idDirector0157|Sean Penn
idDirector0158|Ethan Coen
idDirector0159|Terry George
idDirector0160|Je-kyu Kang
idDirector0161|Richard Linklater
idDirector0162|Farhan Akhtar
idDirector0163|Alejandro G. Iñárritu
idDirector0164|Hideaki Anno
idDirector0165|M. Night Shyamalan
idDirector0166|Peter Weir
idDirector0167|Joel Coen
idDirector0168|Kar-Wai Wong
idDirector0169|Danny Boyle
idDirector0170|Mathieu Kassovitz
idDirector0171|Aditya Chopra
idDirector0172|Krzysztof Kieslowski
idDirector0173|Jim Sheridan
idDirector0174|Kaige Chen
idDirector0175|Yimou Zhang
idDirector0176|Rob Reiner
idDirector0177|Oliver Stone
idDirector0178|Wim Wenders
idDirector0179|John Carpenter
idDirector0180|Alan Parker
idDirector0181|Werner Herzog
idDirector0182|David Lynch
idDirector0183|Terry Jones
idDirector0184|Michael Cimino
idDirector0185|John G. Avildsen
idDirector0186|Peter Bogdanovich
idDirector0187|Jean-Pierre Melville
idDirector0188|Stuart Rosenberg
idDirector0189|Gillo Pontecorvo
idDirector0190|Luis Buñuel
idDirector0191|Robert Aldrich
idDirector0192|John Ford
idDirector0193|François Truffaut
idDirector0194|William Wyler
idDirector0195|Federico Fellini
idDirector0196|Elia Kazan
idDirector0197|Henri-Georges Clouzot
idDirector0198|Raoul Walsh
idDirector0199|Carol Reed
idDirector0200|Michael Powell
idDirector0201|Victor Fleming
idDirector0202|Jean Renoir
idDirector0203|Carl Theodor Dreyer
idDirector0204|F.W. Murnau
idDirector0205|Clyde Bruckman
idDirector0206|Robert Wiene
idDirector0207|Amit Ravindernath Sharma
idDirector0208|Ericson Core
idDirector0209|Raja Menon
idDirector0210|Kabir Khan
idDirector0211|Garth Davis
idDirector0212|Byron Howard
idDirector0213|Stephen Chbosky
idDirector0214|Destin Daniel Cretton
idDirector0215|Gareth Evans
idDirector0216|Morten Tyldum
idDirector0217|James Gunn
idDirector0218|Spike Jonze
idDirector0219|José Padilha
idDirector0220|Tom Hooper
idDirector0221|Tate Taylor
idDirector0222|Tim Miller
idDirector0223|Wilson Yip
idDirector0224|Karan Johar
idDirector0225|Levent Semerci
idDirector0226|Joss Whedon
idDirector0227|Vincent Paronnaud
