idDirector|idMovie
idDirector0001|idMovie00001
idDirector0002|idMovie00002
idDirector0003|idMovie00003
idDirector0002|idMovie00004
idDirector0004|idMovie00005
idDirector0005|idMovie00006
idDirector0006|idMovie00007
idDirector0007|idMovie00008
idDirector0003|idMovie00009
idDirector0008|idMovie00010
idDirector0005|idMovie00011
idDirector0009|idMovie00012
idDirector0010|idMovie00013
idDirector0005|idMovie00014
idDirector0011|idMovie00015
idDirector0012|idMovie00016
idDirector0013|idMovie00017
idDirector0014|idMovie00018
idDirector0015|idMovie00019
idDirector0016|idMovie00020
idDirector0017|idMovie00021
idDirector0003|idMovie00022
idDirector0018|idMovie00023
idDirector0019|idMovie00024
idDirector0007|idMovie00025
idDirector0001|idMovie00026
idDirector0020|idMovie00027
idDirector0008|idMovie00028
idDirector0021|idMovie00029
idDirector0022|idMovie00030
idDirector0023|idMovie00031
idDirector0024|idMovie00032
idDirector0025|idMovie00033
idDirector0026|idMovie00034
idDirector0027|idMovie00035
idDirector0028|idMovie00036
idDirector0003|idMovie00037
idDirector0012|idMovie00038
idDirector0029|idMovie00039
idDirector0030|idMovie00040
idDirector0031|idMovie00041
idDirector0032|idMovie00042
idDirector0033|idMovie00043
idDirector0034|idMovie00044
idDirector0035|idMovie00045
idDirector0036|idMovie00046
idDirector0037|idMovie00047
idDirector0009|idMovie00048
idDirector0010|idMovie00049
idDirector0038|idMovie00050
idDirector0039|idMovie00051
idDirector0040|idMovie00052
idDirector0040|idMovie00053
idDirector0041|idMovie00054
idDirector0042|idMovie00055
idDirector0043|idMovie00056
idDirector0044|idMovie00057
idDirector0045|idMovie00058
idDirector0046|idMovie00059
idDirector0047|idMovie00060
idDirector0047|idMovie00061
idDirector0048|idMovie00062
idDirector0006|idMovie00063
idDirector0003|idMovie00064
idDirector0049|idMovie00065
idDirector0050|idMovie00066
idDirector0051|idMovie00067
idDirector0052|idMovie00068
idDirector0053|idMovie00069
idDirector0003|idMovie00070
idDirector0019|idMovie00071
idDirector0010|idMovie00072
idDirector0007|idMovie00073
idDirector0054|idMovie00074
idDirector0002|idMovie00075
idDirector0030|idMovie00076
idDirector0055|idMovie00077
idDirector0024|idMovie00078
idDirector0054|idMovie00079
idDirector0056|idMovie00080
idDirector0054|idMovie00081
idDirector0038|idMovie00082
idDirector0056|idMovie00083
idDirector0040|idMovie00084
idDirector0057|idMovie00085
idDirector0058|idMovie00086
idDirector0059|idMovie00087
idDirector0060|idMovie00088
idDirector0061|idMovie00089
idDirector0062|idMovie00090
idDirector0063|idMovie00091
idDirector0064|idMovie00092
idDirector0065|idMovie00093
idDirector0006|idMovie00094
idDirector0066|idMovie00095
idDirector0067|idMovie00096
idDirector0068|idMovie00097
idDirector0069|idMovie00098
idDirector0057|idMovie00099
idDirector0070|idMovie00100
idDirector0071|idMovie00101
idDirector0072|idMovie00102
idDirector0073|idMovie00103
idDirector0006|idMovie00104
idDirector0054|idMovie00105
idDirector0074|idMovie00106
idDirector0035|idMovie00107
idDirector0014|idMovie00108
idDirector0075|idMovie00109
idDirector0076|idMovie00110
idDirector0077|idMovie00111
idDirector0012|idMovie00112
idDirector0078|idMovie00113
idDirector0054|idMovie00114
idDirector0054|idMovie00115
idDirector0010|idMovie00116
idDirector0079|idMovie00117
idDirector0056|idMovie00118
idDirector0038|idMovie00119
idDirector0038|idMovie00120
idDirector0080|idMovie00121
idDirector0024|idMovie00122
idDirector0081|idMovie00123
idDirector0056|idMovie00124
idDirector0082|idMovie00125
idDirector0083|idMovie00126
idDirector0083|idMovie00127
idDirector0040|idMovie00128
idDirector0045|idMovie00129
idDirector0084|idMovie00130
idDirector0085|idMovie00131
idDirector0086|idMovie00132
idDirector0087|idMovie00133
idDirector0088|idMovie00134
idDirector0089|idMovie00135
idDirector0090|idMovie00136
idDirector0091|idMovie00137
idDirector0092|idMovie00138
idDirector0093|idMovie00139
idDirector0094|idMovie00140
idDirector0095|idMovie00141
idDirector0096|idMovie00142
idDirector0097|idMovie00143
idDirector0098|idMovie00144
idDirector0099|idMovie00145
idDirector0012|idMovie00146
idDirector0100|idMovie00147
idDirector0012|idMovie00148
idDirector0101|idMovie00149
idDirector0102|idMovie00150
idDirector0103|idMovie00151
idDirector0048|idMovie00152
idDirector0104|idMovie00153
idDirector0094|idMovie00154
idDirector0105|idMovie00155
idDirector0003|idMovie00156
idDirector0106|idMovie00157
idDirector0107|idMovie00158
idDirector0019|idMovie00159
idDirector0108|idMovie00160
idDirector0109|idMovie00161
idDirector0068|idMovie00162
idDirector0110|idMovie00163
idDirector0111|idMovie00164
idDirector0112|idMovie00165
idDirector0012|idMovie00166
idDirector0113|idMovie00167
idDirector0114|idMovie00168
idDirector0007|idMovie00169
idDirector0115|idMovie00170
idDirector0019|idMovie00171
idDirector0116|idMovie00172
idDirector0024|idMovie00173
idDirector0012|idMovie00174
idDirector0117|idMovie00175
idDirector0118|idMovie00176
idDirector0119|idMovie00177
idDirector0120|idMovie00178
idDirector0121|idMovie00179
idDirector0122|idMovie00180
idDirector0123|idMovie00181
idDirector0024|idMovie00182
idDirector0124|idMovie00183
idDirector0056|idMovie00184
idDirector0118|idMovie00185
idDirector0118|idMovie00186
idDirector0125|idMovie00187
idDirector0038|idMovie00188
idDirector0126|idMovie00189
idDirector0024|idMovie00190
idDirector0127|idMovie00191
idDirector0128|idMovie00192
idDirector0129|idMovie00193
