idGenre|idMovie
idGenre01|idMovie00001
idGenre02|idMovie00002
idGenre01|idMovie00002
idGenre03|idMovie00003
idGenre02|idMovie00003
idGenre01|idMovie00003
idGenre02|idMovie00004
idGenre01|idMovie00004
idGenre02|idMovie00005
idGenre01|idMovie00005
idGenre03|idMovie00006
idGenre04|idMovie00006
idGenre01|idMovie00006
idGenre02|idMovie00007
idGenre01|idMovie00007
idGenre05|idMovie00008
idGenre01|idMovie00008
idGenre06|idMovie00008
idGenre03|idMovie00009
idGenre04|idMovie00009
idGenre07|idMovie00009
idGenre01|idMovie00010
idGenre03|idMovie00011
idGenre04|idMovie00011
idGenre01|idMovie00011
idGenre01|idMovie00012
idGenre08|idMovie00012
idGenre09|idMovie00013
idGenre03|idMovie00014
idGenre04|idMovie00014
idGenre01|idMovie00014
idGenre03|idMovie00015
idGenre07|idMovie00015
idGenre05|idMovie00016
idGenre02|idMovie00016
idGenre01|idMovie00016
idGenre03|idMovie00017
idGenre04|idMovie00017
idGenre10|idMovie00017
idGenre01|idMovie00018
idGenre05|idMovie00019
idGenre01|idMovie00019
idGenre06|idMovie00019
idGenre11|idMovie00020
idGenre01|idMovie00020
idGenre12|idMovie00020
idGenre01|idMovie00021
idGenre04|idMovie00022
idGenre01|idMovie00022
idGenre07|idMovie00022
idGenre02|idMovie00023
idGenre01|idMovie00023
idGenre13|idMovie00024
idGenre04|idMovie00024
idGenre14|idMovie00024
idGenre01|idMovie00025
idGenre15|idMovie00025
idGenre02|idMovie00026
idGenre01|idMovie00026
idGenre10|idMovie00026
idGenre11|idMovie00027
idGenre01|idMovie00027
idGenre08|idMovie00027
idGenre02|idMovie00028
idGenre01|idMovie00028
idGenre16|idMovie00028
idGenre02|idMovie00029
idGenre01|idMovie00029
idGenre12|idMovie00029
idGenre03|idMovie00030
idGenre04|idMovie00030
idGenre10|idMovie00030
idGenre03|idMovie00031
idGenre01|idMovie00031
idGenre16|idMovie00031
idGenre03|idMovie00032
idGenre04|idMovie00032
idGenre01|idMovie00032
idGenre01|idMovie00033
idGenre14|idMovie00033
idGenre10|idMovie00033
idGenre02|idMovie00034
idGenre01|idMovie00034
idGenre12|idMovie00034
idGenre01|idMovie00035
idGenre17|idMovie00035
idGenre05|idMovie00036
idGenre11|idMovie00036
idGenre01|idMovie00036
idGenre01|idMovie00037
idGenre16|idMovie00037
idGenre07|idMovie00037
idGenre02|idMovie00038
idGenre01|idMovie00038
idGenre12|idMovie00038
idGenre05|idMovie00039
idGenre01|idMovie00039
idGenre17|idMovie00039
idGenre03|idMovie00040
idGenre04|idMovie00040
idGenre01|idMovie00040
idGenre01|idMovie00041
idGenre02|idMovie00042
idGenre16|idMovie00042
idGenre12|idMovie00042
idGenre03|idMovie00043
idGenre02|idMovie00043
idGenre01|idMovie00043
idGenre13|idMovie00044
idGenre04|idMovie00044
idGenre01|idMovie00044
idGenre03|idMovie00045
idGenre07|idMovie00045
idGenre01|idMovie00046
idGenre08|idMovie00046
idGenre13|idMovie00047
idGenre01|idMovie00047
idGenre15|idMovie00047
idGenre04|idMovie00048
idGenre11|idMovie00048
idGenre07|idMovie00048
idGenre09|idMovie00049
idGenre18|idMovie00050
idGenre16|idMovie00050
idGenre12|idMovie00050
idGenre01|idMovie00051
idGenre08|idMovie00051
idGenre15|idMovie00051
idGenre11|idMovie00052
idGenre01|idMovie00052
idGenre14|idMovie00052
idGenre11|idMovie00053
idGenre01|idMovie00053
idGenre08|idMovie00053
idGenre01|idMovie00054
idGenre05|idMovie00055
idGenre01|idMovie00055
idGenre06|idMovie00055
idGenre03|idMovie00056
idGenre02|idMovie00056
idGenre01|idMovie00056
idGenre13|idMovie00057
idGenre01|idMovie00057
idGenre10|idMovie00057
idGenre03|idMovie00058
idGenre05|idMovie00058
idGenre01|idMovie00058
idGenre13|idMovie00059
idGenre03|idMovie00059
idGenre04|idMovie00059
idGenre03|idMovie00060
idGenre04|idMovie00060
idGenre01|idMovie00060
idGenre03|idMovie00061
idGenre04|idMovie00061
idGenre07|idMovie00061
idGenre13|idMovie00062
idGenre04|idMovie00062
idGenre14|idMovie00062
idGenre01|idMovie00063
idGenre09|idMovie00063
idGenre03|idMovie00064
idGenre04|idMovie00064
idGenre11|idMovie00065
idGenre01|idMovie00065
idGenre01|idMovie00066
idGenre14|idMovie00066
idGenre13|idMovie00067
idGenre04|idMovie00067
idGenre14|idMovie00067
idGenre01|idMovie00068
idGenre16|idMovie00068
idGenre12|idMovie00068
idGenre03|idMovie00069
idGenre01|idMovie00069
idGenre16|idMovie00069
idGenre16|idMovie00070
idGenre12|idMovie00070
idGenre13|idMovie00071
idGenre03|idMovie00071
idGenre04|idMovie00071
idGenre02|idMovie00072
idGenre01|idMovie00072
idGenre03|idMovie00073
idGenre04|idMovie00073
idGenre01|idMovie00074
idGenre18|idMovie00074
idGenre01|idMovie00075
idGenre16|idMovie00075
idGenre15|idMovie00075
idGenre18|idMovie00076
idGenre07|idMovie00076
idGenre01|idMovie00077
idGenre19|idMovie00077
idGenre02|idMovie00078
idGenre01|idMovie00078
idGenre16|idMovie00078
idGenre11|idMovie00079
idGenre02|idMovie00080
idGenre01|idMovie00080
idGenre16|idMovie00080
idGenre01|idMovie00081
idGenre15|idMovie00081
idGenre16|idMovie00082
idGenre12|idMovie00082
idGenre01|idMovie00083
idGenre20|idMovie00083
idGenre11|idMovie00084
idGenre01|idMovie00084
idGenre15|idMovie00084
idGenre01|idMovie00085
idGenre12|idMovie00085
idGenre15|idMovie00085
idGenre01|idMovie00086
idGenre10|idMovie00086
idGenre18|idMovie00086
idGenre02|idMovie00087
idGenre01|idMovie00087
idGenre17|idMovie00087
idGenre02|idMovie00088
idGenre01|idMovie00088
idGenre12|idMovie00088
idGenre01|idMovie00089
idGenre01|idMovie00090
idGenre01|idMovie00091
idGenre16|idMovie00091
idGenre15|idMovie00091
idGenre01|idMovie00092
idGenre01|idMovie00093
idGenre14|idMovie00093
idGenre04|idMovie00094
idGenre01|idMovie00094
idGenre15|idMovie00094
idGenre01|idMovie00095
idGenre08|idMovie00095
idGenre07|idMovie00095
idGenre11|idMovie00096
idGenre08|idMovie00096
idGenre11|idMovie00097
idGenre02|idMovie00097
idGenre01|idMovie00098
idGenre01|idMovie00099
idGenre01|idMovie00100
idGenre08|idMovie00100
idGenre01|idMovie00101
idGenre14|idMovie00101
idGenre21|idMovie00101
idGenre13|idMovie00102
idGenre04|idMovie00102
idGenre11|idMovie00102
idGenre05|idMovie00103
idGenre01|idMovie00103
idGenre06|idMovie00103
idGenre02|idMovie00104
idGenre01|idMovie00104
idGenre12|idMovie00104
idGenre01|idMovie00105
idGenre15|idMovie00105
idGenre01|idMovie00106
idGenre12|idMovie00106
idGenre15|idMovie00106
idGenre03|idMovie00107
idGenre04|idMovie00107
idGenre07|idMovie00107
idGenre05|idMovie00108
idGenre01|idMovie00108
idGenre06|idMovie00108
idGenre02|idMovie00109
idGenre01|idMovie00109
idGenre03|idMovie00110
idGenre04|idMovie00110
idGenre10|idMovie00110
idGenre04|idMovie00111
idGenre01|idMovie00111
idGenre12|idMovie00111
idGenre02|idMovie00112
idGenre01|idMovie00112
idGenre11|idMovie00113
idGenre02|idMovie00113
idGenre01|idMovie00113
idGenre02|idMovie00114
idGenre01|idMovie00114
idGenre07|idMovie00114
idGenre04|idMovie00115
idGenre07|idMovie00115
idGenre09|idMovie00116
idGenre04|idMovie00117
idGenre05|idMovie00117
idGenre01|idMovie00117
idGenre11|idMovie00118
idGenre01|idMovie00118
idGenre08|idMovie00118
idGenre04|idMovie00119
idGenre16|idMovie00119
idGenre12|idMovie00119
idGenre16|idMovie00120
idGenre08|idMovie00120
idGenre12|idMovie00120
idGenre11|idMovie00121
idGenre19|idMovie00121
idGenre08|idMovie00121
idGenre01|idMovie00122
idGenre01|idMovie00123
idGenre02|idMovie00124
idGenre01|idMovie00124
idGenre20|idMovie00124
idGenre01|idMovie00125
idGenre16|idMovie00125
idGenre02|idMovie00126
idGenre16|idMovie00126
idGenre12|idMovie00126
idGenre01|idMovie00127
idGenre07|idMovie00127
idGenre11|idMovie00128
idGenre01|idMovie00128
idGenre14|idMovie00128
idGenre11|idMovie00129
idGenre01|idMovie00129
idGenre03|idMovie00130
idGenre01|idMovie00130
idGenre15|idMovie00130
idGenre03|idMovie00131
idGenre01|idMovie00131
idGenre05|idMovie00132
idGenre11|idMovie00132
idGenre01|idMovie00132
idGenre11|idMovie00133
idGenre02|idMovie00133
idGenre01|idMovie00133
idGenre02|idMovie00134
idGenre01|idMovie00134
idGenre16|idMovie00134
idGenre03|idMovie00135
idGenre01|idMovie00135
idGenre13|idMovie00136
idGenre04|idMovie00136
idGenre11|idMovie00136
idGenre02|idMovie00137
idGenre01|idMovie00137
idGenre16|idMovie00137
idGenre04|idMovie00138
idGenre11|idMovie00138
idGenre01|idMovie00138
idGenre01|idMovie00139
idGenre15|idMovie00139
idGenre05|idMovie00140
idGenre01|idMovie00140
idGenre21|idMovie00140
idGenre03|idMovie00141
idGenre11|idMovie00141
idGenre02|idMovie00141
idGenre01|idMovie00142
idGenre03|idMovie00143
idGenre05|idMovie00143
idGenre02|idMovie00143
idGenre01|idMovie00144
